,ARTICLE CODE,COLOUR CODE,COLOUR,BOTTONE POLIESTERE ,BOTTONE MADREPERLA ,COLORE TELE ,ETICHETTE LAVAGGIO 
,,,,,,,
,22I4178,24976,WHITE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4178,24977,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4178,24979,PINK,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4178,24980,BLUE NAVY,NERO ,0,GRIGIO ,100% COTTON (CO) 
,22I4178,24981,BLACK,NERO ,0,GRIGIO ,100% COTTON (CO) 
,22I4179,24982,WHITE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4179,24983,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4179,24984,AZURE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4180,24986,WHITE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4180,24987,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4180,24988,AZURE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4185,25000,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4186,25001,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4186,25002,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4186,25003,RED,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4190,25008,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4191,25009,WHITE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4191,25010,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4192,25011,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4194,25013,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4195,25014,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4181,24990,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4181,24991,AZURE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4181,24992,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4181,24993,BORDEAUX,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4181,24994,PURPLE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4182,24995,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4182,24996,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4183,24997,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4183,24998,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4187,25004,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4189,25006,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4189,25007,PINK,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,,,,,,,
,22I4198,25019,WHITE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4196,25015,WHITE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4196,25016,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4196,25017,AZURE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4197,25018,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4199,25020,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4199,25021,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4199,25022,BORDEAUX,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4200,25023,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4200,25024,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4201,25025,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4201,25026,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4201,25027,BLUE NAVY,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4202,25028,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4202,25029,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4202,25030,PINK,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4203,25031,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4203,25032,BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4205,25034,LIGHT BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4206,25035,LIGHTE BLUE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4207,25036,LIGHT BLUE ,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4208,25037,BLUE ,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4209,25038,BLUE ,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4240,25153,WHITE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4240,25154,LIGHT BLUE ,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,,,,,,,
,22I4210,25039,WHITE,BIANCO ,BIANCO ,BIANCO ,100% LINEN (LI) 
,22I4210,25040,LIGHT BLUE ,BIANCO ,BIANCO ,BIANCO ,100% LINEN (LI) 
,22I4210,25041,BLUE NAVY,BLU,0,GRIGIO ,100% LINEN (LI) 
,,,,,,,
,,,,,,,
,22I4241,25156,WHITE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4241,25157,AZURE,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4242,25158,LIGHT BLUE ,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
,22I4243,25159,LIGHT BLUE ,BIANCO ,BIANCO ,BIANCO ,100% COTTON (CO) 
